File,mean,variance,correlation,contrast,homogeneity,class
Supine_0000,5.150841346153847,7.399722849828958,0.12743613507362442,12.913461538461537,0.3453795591315595,Supine
Supine_0001,4.844651442307693,6.955734614084459,0.012686889050732286,13.734975961538463,0.2953404512534128,Supine
Supine_0002,4.9284855769230775,6.3716885719073595,0.06135254991301423,11.961538461538462,0.32221101905518634,Supine
Supine_0003,4.961838942307692,7.569156714445035,0.11644047902903334,13.375600961538462,0.3284995389802565,Supine
Supine_0004,6.310997596153846,5.734710783648067,0.2783382125536393,8.27704326923077,0.5527573070163051,Supine
Supine_0005,5.627704326923077,6.794989681808201,0.13853204500718116,11.70733173076923,0.47977324811637034,Supine
Supine_0006,5.232872596153846,7.654604488575952,0.18212406189418007,12.521033653846155,0.3581241546740491,Supine
Supine_0007,4.908353365384616,7.020747528979059,0.039034706248787354,13.493389423076923,0.30067436479127035,Supine
Supine_0008,5.088341346153846,7.128614075790495,0.012140756559133919,14.084134615384615,0.3129845939372343,Supine
Supine_0009,5.356370192307692,7.9547310552653485,0.07136782130683608,14.774038461538463,0.3437217358049772,Supine
Supine_0010,5.021033653846153,6.847514316175111,0.07198918990477614,12.709134615384615,0.3127035081984177,Supine
Supine_0011,5.0615985576923075,7.038573406151766,0.057263959039826805,13.271033653846153,0.31043599104710945,Supine
Supine_0012,4.792968750000001,6.2849625807542076,0.020144784275612653,12.316706730769234,0.31210248065863827,Supine
Supine_0013,5.146334134615385,7.677805071046366,0.2145738916408223,12.060697115384617,0.38753516371682484,Supine
Supine_0014,4.989783653846154,6.811193703194343,0.04701204226816986,12.981971153846155,0.3059625033498985,Supine
Supine_0015,5.16766826923077,7.37513254380085,0.02682648600274963,14.354567307692308,0.31180437055923343,Supine
Supine_0016,5.165865384615385,7.8613107895710055,0.03388224605589192,15.189903846153848,0.30592719597892865,Supine
Supine_0017,6.390624999999999,5.661714993990384,0.32820963595654695,7.606971153846153,0.6014726264965271,Supine
Supine_0018,5.633112980769231,7.714252088196885,0.1769962790312581,12.697716346153845,0.4487896077816651,Supine
Supine_0019,5.0420673076923075,6.5985909185465985,0.07113400323970277,12.258413461538463,0.3387548600057912,Supine
Supine_0020,5.470853365384615,6.8206648967675205,0.06018601602346285,12.820312500000002,0.3421579880896768,Supine
Supine_0021,4.9110576923076925,6.971656573594675,0.04575847066731763,13.30528846153846,0.32002075058491297,Supine
Supine_0022,5.2608173076923075,7.614065678161983,0.2142736393063536,11.965144230769232,0.39257420677672994,Supine
Supine_0023,4.990384615384615,7.796181582840237,0.2069589141816931,12.365384615384613,0.35760595760519887,Supine
Supine_0024,5.469951923076923,7.349457689996303,0.06136781909911625,13.796875,0.34509572944441474,Supine
Supine_0025,4.979867788461538,7.5858326748278015,0.08566430430640974,13.871995192307693,0.34038122092356926,Supine
Supine_0026,6.518028846153846,5.177559576090977,0.3953891581852946,6.260817307692308,0.6546639434448795,Supine
Supine_0027,5.119290865384615,7.652536516358866,0.1297584435924777,13.319110576923077,0.34457321077704794,Supine
Supine_0028,5.378605769230769,7.020119209966716,0.10045632313645762,12.629807692307693,0.4021693591380298,Supine
Supine_0029,6.652944711538463,5.748843492135494,0.27593087168779384,8.325120192307692,0.6527350866921038,Supine
Supine_0030,4.824519230769231,7.110432461168639,-0.008049553719088855,14.33533653846154,0.3001625996422721,Supine
Supine_0031,5.019831730769232,7.342755740916237,0.015087603480087646,14.46394230769231,0.30729684758489534,Supine
Supine_0032,6.205228365384616,6.041715452656943,0.3070513514748229,8.373197115384615,0.5516737462072724,Supine
Supine_0033,6.411658653846153,5.63041696040588,0.3064371423317158,7.810096153846153,0.5861774962078461,Supine
Supine_0034,5.115384615384617,7.918777736686392,0.2023888055388531,12.63221153846154,0.38568742125730876,Supine
Supine_0035,4.7313701923076925,6.626756295649963,0.016498028018073554,13.03485576923077,0.30266481952364443,Supine
Supine_0036,5.073016826923078,7.237156523755317,0.0010901652888592518,14.458533653846157,0.3022627067630207,Supine
Supine_0037,5.262319711538462,7.646032118938378,0.20761596920400954,12.1171875,0.36254168461835595,Supine
Supine_0038,6.318810096153847,6.4569538725903755,0.3478911105273914,8.421274038461538,0.606587070164714,Supine
Supine_0039,5.090144230769231,8.101249017659024,0.12762739709612136,14.134615384615383,0.33524268451573663,Supine
Supine_0040,5.170673076923077,8.036375508505916,0.15386235990402258,13.599759615384617,0.32834091379323005,Supine
Supine_0041,5.158052884615385,7.550139477972448,0.1413174424343085,12.966346153846153,0.35362274945902583,Supine
Supine_0042,4.939903846153847,7.745186529215976,0.158751700114373,13.03125,0.3538534097607324,Supine
Supine_0043,5.553185096153847,7.477339614777876,0.12745183736027124,13.048677884615387,0.368750179935152,Supine
Supine_0044,5.209435096153847,7.473264344345184,0.15528205749259277,12.625600961538463,0.3641540031731685,Supine
Supine_0045,4.977163461538462,7.704406377126479,0.22606102368664072,11.92548076923077,0.3709271607017441,Supine
Supine_0046,6.224759615384616,6.261983115292161,0.417463051033579,7.2956730769230775,0.626990689519246,Supine
Supine_0047,5.140925480769231,8.1553202973315,0.07037001465874294,15.162860576923077,0.3344271342653661,Supine
Right_0000,6.679687499999999,5.250765286959135,0.4086255813142507,6.210336538461538,0.6892117662288242,Right
Right_0001,5.161959134615384,7.716257219483866,0.17370542985422013,12.751802884615385,0.4071688938305309,Right
Right_0002,5.293269230769232,7.846084504437871,0.10829481548255569,13.992788461538463,0.3551833069911235,Right
Right_0003,5.034855769230769,7.805876421505178,0.24243464549733823,11.826923076923077,0.4225580335499219,Right
Right_0004,5.399038461538462,7.856393306213017,0.09102998243595892,14.282451923076923,0.36322001529653136,Right
Right_0005,5.098858173076923,8.035599657769739,-0.03337478363089623,16.607572115384613,0.2785889956823594,Right
Right_0006,6.81610576923077,4.402480988812871,0.49752436667002453,4.424278846153847,0.7335231941609206,Right
Right_0007,6.76953125,4.610045212965746,0.5161720445329234,4.4609375,0.7250875666122154,Right
Right_0008,5.114182692307692,7.546457505085058,0.0018559147783842602,15.064903846153847,0.3211106108092506,Right
Right_0009,6.82001201923077,4.938457692163231,0.43420175948637696,5.588341346153847,0.7456695618599485,Right
Right_0010,5.540564903846154,7.628162180883645,0.17999800938260432,12.510216346153847,0.4432439861793169,Right
Right_0011,5.422175480769231,7.71690007497573,0.1520468519790907,13.087139423076923,0.37960109158364386,Right
Right_0012,4.996995192307692,6.985567894207655,-0.03114379662285443,14.40625,0.30865976268263545,Right
Right_0013,5.550480769230768,7.129062268860947,0.11234819372519204,12.65625,0.3998531647420429,Right
Right_0014,5.15234375,7.588870708759016,0.19357015532501481,12.239783653846157,0.40526163585668273,Right
Right_0015,4.892127403846153,7.700803406845184,-0.04084263625091518,16.03064903846154,0.28520320665736115,Right
Right_0016,5.323918269230769,6.833778877935465,0.07425712356443072,12.65264423076923,0.38612703915033264,Right
Right_0017,5.162560096153847,7.238898734369222,0.10103563290171974,13.015024038461538,0.36275172045825466,Right
Right_0018,6.407752403846153,6.269134611773068,0.34417130593056655,8.222956730769232,0.64116794014196,Right
Right_0019,4.892127403846153,7.700803406845184,-0.04084263625091518,16.03064903846154,0.28520320665736115,Right
Right_0020,5.341045673076923,8.198291214260124,0.05486431334909226,15.496995192307692,0.3288025122761734,Right
Right_0021,5.440504807692308,7.195979552861502,0.2049513476064821,11.442307692307693,0.41373794165601085,Right
Right_0022,5.305588942307693,7.278911071416189,0.13751594847867524,12.555889423076927,0.38674514378722324,Right
Right_0023,5.1376201923076925,6.802575105746117,0.09059466734920317,12.372596153846153,0.3714027978191702,Right
Right_0024,6.388822115384617,6.545331785664757,0.31652697849397876,8.947115384615383,0.6369392122197414,Right
Right_0025,5.354266826923077,7.836934919188009,0.05438066183324944,14.821514423076923,0.3258057660658608,Right
Right_0026,5.045372596153846,7.425525462133645,-0.012417020683742572,15.03545673076923,0.29772969867576904,Right
Right_0027,5.213942307692308,8.188603688979288,0.12709946531158636,14.295673076923077,0.34257104753276535,Right
Right_0028,5.325420673076923,7.301853789380315,0.16203609653961226,12.237379807692307,0.38179036562450025,Right
Right_0029,5.31971153846154,7.673024916789942,0.196579767641692,12.329326923076923,0.41249429355688333,Right
Right_0030,5.2782451923076925,7.766930574496117,0.14864955412308564,13.224759615384617,0.3630023045896363,Right
Right_0031,5.829326923076923,6.9119764700443795,0.28818158789926757,9.84014423076923,0.538413647747503,Right
Right_0032,5.6610576923076925,7.11829118897929,0.1570166487669489,12.001201923076923,0.4890906973691366,Right
Right_0033,5.084435096153847,7.722137541460568,-0.009172487301493379,15.5859375,0.29478643913045127,Right
Right_0034,5.296274038461538,8.055851501825998,0.08011502830091613,14.82091346153846,0.35873567394967487,Right
Right_0035,5.26532451923077,7.377018764879576,0.03949857726213389,14.17127403846154,0.3212071794849807,Right
Right_0036,5.15234375,7.588870708759016,0.19357015532501481,12.239783653846157,0.40526163585668273,Right
Right_0037,5.269831730769231,8.23548410630085,0.0002076463043627984,16.467548076923077,0.31475273009557997,Right
Right_0038,6.679687499999999,5.250765286959135,0.4086255813142507,6.210336538461538,0.6892117662288242,Right
Right_0039,5.232271634615385,7.987816714676175,0.036430707066094414,15.393629807692307,0.3289966401851645,Right
Right_0040,5.17548076923077,7.299134384245562,-0.035093760959625825,15.110576923076925,0.3287553340250338,Right
Right_0041,5.024939903846153,7.71301982811922,-0.06654231449534587,16.45252403846154,0.2889245437297701,Right
Right_0042,5.14423076923077,7.118620562130178,0.027384895123059923,13.847355769230768,0.31586317384011486,Right
Right_0043,5.234375,7.234130859375,0.02904182989229056,14.048076923076923,0.31305822645589226,Right
Right_0044,5.60546875,7.803780188927283,0.12798825491974142,13.609975961538462,0.3965282267452799,Right
Right_0045,5.125,7.595552884615385,0.23134741672600675,11.676682692307693,0.41296635713853047,Right
Right_0046,5.340144230769231,7.592835556120562,0.16973224405211396,12.608173076923077,0.3827118231455501,Right
Right_0047,4.952524038461538,6.9424575715375365,0.017593924093724865,13.640625,0.34044843948362463,Right
Left_0000,5.37890625,6.903605534480168,0.05876768274758227,12.995793269230768,0.363511388672605,Left
Left_0001,5.125,7.080528846153846,-0.0409098625021219,14.740384615384617,0.3029906118520786,Left
Left_0002,4.915865384615385,7.108305981878699,0.01270023208834804,14.036057692307692,0.3155546958693687,Left
Left_0003,4.939603365384615,7.678744073450213,0.14634634022592913,13.109975961538463,0.38788468898630235,Left
Left_0004,5.344951923076923,7.672474516919378,0.2212734493664272,11.94951923076923,0.3952177056877835,Left
Left_0005,4.948016826923077,7.590146307409162,0.16543965826186344,12.668870192307693,0.37767434167467623,Left
Left_0006,4.951021634615385,7.647541023570406,-0.04062641162027603,15.916466346153847,0.2887231404033668,Left
Left_0007,4.899639423076923,7.870937369984283,-0.045105703652418366,16.451923076923073,0.25640314528509817,Left
Left_0008,5.007512019230769,7.4425517426439995,0.021632535109197985,14.563100961538463,0.2964479230385484,Left
Left_0009,5.077524038461538,7.43389386961446,0.15796277234987974,12.519230769230768,0.37311809398920365,Left
Left_0010,5.671875,7.679593599759615,0.19264996099510182,12.400240384615385,0.4805623715967843,Left
Left_0011,6.133413461538463,7.041095079049555,0.25574295524326457,10.48076923076923,0.5889107189811444,Left
Left_0012,6.558293269230768,5.382419202454697,0.2959181886445868,7.579326923076923,0.6156458587109178,Left
Left_0013,6.463341346153847,6.00767056617511,0.16022823491857188,10.09014423076923,0.550945085598511,Left
Left_0014,4.98858173076923,7.26008596928162,0.018027229851844278,14.258413461538462,0.30253814833155546,Left
Left_0015,5.137319711538462,7.655121662207609,0.12023926229448548,13.469350961538463,0.3472912482281103,Left
Left_0016,5.068209134615385,7.525095110108866,0.1448085983696912,12.87079326923077,0.36434509624046174,Left
Left_0017,6.39813701923077,6.33397489468727,0.3154001945277166,8.672475961538462,0.6514613974173314,Left
Left_0018,5.062199519230769,6.9291240082689995,-0.008450747904447895,13.975360576923077,0.297928694262622,Left
Left_0019,4.9618389423076925,6.973002868291189,-0.022875245278462023,14.26502403846154,0.2957010737787039,Left
Left_0020,4.959435096153847,7.391683815499029,-0.023719006442322492,15.134014423076923,0.28942302576398904,Left
Left_0021,4.989783653846154,7.648333126271265,0.14990589749780414,13.00360576923077,0.37570242990681546,Left
Left_0022,5.313401442307692,7.6851329013440735,0.1684822369027414,12.780649038461538,0.36856212981183667,Left
Left_0023,6.395132211538462,6.258233516173956,0.3255519541614862,8.44170673076923,0.657036233691042,Left
Left_0024,6.675180288461538,5.369552251149917,0.20732495055945574,8.512620192307692,0.6077997910715911,Left
Left_0025,4.966646634615385,7.121183226094443,-0.004206969527038002,14.302283653846153,0.2959640242482747,Left
Left_0026,4.915264423076923,7.290295843541975,0.02555856461616529,14.207932692307693,0.29366271112391157,Left
Left_0027,5.552283653846153,7.86986257338665,0.210565581459468,12.42548076923077,0.45644558832707216,Left
Left_0028,5.598557692307692,7.223459458210058,0.22910765297429014,11.137019230769232,0.40907777968153475,Left
Left_0029,5.2421875,8.229205791766827,0.19662017794842973,13.22235576923077,0.4146197448610606,Left
Left_0030,6.3737980769230775,5.4540249976886095,0.2884136730159159,7.762019230769231,0.5885573039718554,Left
Left_0031,6.41826923076923,5.562430658284024,0.1941342929446132,8.96514423076923,0.5500052071849129,Left
Left_0032,6.31610576923077,6.01185598881287,0.24578120032651288,9.068509615384617,0.550358872862977,Left
Left_0033,5.002704326923077,7.459427782769739,0.15234559391695113,12.646033653846153,0.3600333058568042,Left
Left_0034,5.37890625,7.6493988037109375,0.14456418348014582,13.087139423076923,0.37513312731122916,Left
Left_0035,4.940805288461538,7.7750416592028,0.19711195715840163,12.48497596153846,0.38816197998992047,Left
Left_0036,5.114783653846155,7.378050674348188,-0.04756211190385458,15.457932692307693,0.2809891853775324,Left
Left_0037,5.057692307692308,7.348234097633137,-0.02310687796070638,15.036057692307693,0.29055779409527616,Left
Left_0038,5.079326923076923,7.1036832008136095,0.018656428068833972,13.942307692307692,0.31946318249306327,Left
Left_0039,6.73858173076923,5.607141257743159,0.4031263608580182,6.693509615384615,0.7300048823766887,Left
Left_0040,5.326021634615385,7.564082489916559,0.15811482082634715,12.736177884615385,0.3714802891384015,Left
Left_0041,5.084735576923077,7.861209305080437,0.20595073127414593,12.484375000000002,0.4006032320411598,Left
Left_0042,5.062199519230769,6.9291240082689995,-0.008450747904447895,13.975360576923077,0.297928694262622,Left
Left_0043,4.9618389423076925,6.973002868291189,-0.022875245278462023,14.26502403846154,0.2957010737787039,Left
Left_0044,4.959435096153847,7.391683815499029,-0.023719006442322492,15.134014423076923,0.28942302576398904,Left
Left_0045,4.989783653846154,7.648333126271265,0.14990589749780414,13.00360576923077,0.37570242990681546,Left
Left_0046,5.313401442307692,7.6851329013440735,0.1684822369027414,12.780649038461538,0.36856212981183667,Left
Left_0047,6.395132211538462,6.258233516173956,0.3255519541614862,8.44170673076923,0.657036233691042,Left
